0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
[0.67],[0.5408],[0.5608],[0.5424],[0.4824],[0.5932],[0.6376],[0.6372],[0.6684],[0.678],[0.4652],[0.7048],[0.7128],[0.6596],[0.682],[0.6752],[0.7136],[0.7372],[0.7444],[0.7336],[0.7288],[0.7244],[0.7328],[0.7372],[0.732],[0.6968]
[0.724],[0.7036],[0.674],[0.6776],[0.6824],[0.672],[0.7736],[0.7424],[0.7272],[0.7804],[0.772],[0.7948],[0.7412],[0.7932],[0.7792],[0.8016],[0.7952],[0.78],[0.7772],[0.7576],[0.766],[0.7708],[0.778],[0.7656],[0.7804],[0.7848]
