0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
[0.21233684210526316],[0.22732631578947368],[0.2518315789473684],[0.27642105263157896],[0.27273684210526317],[0.31701052631578946],[0.35402105263157896],[0.3988842105263158],[0.43896842105263156],[0.45477894736842106],[0.4242947368421053],[0.47229473684210527],[0.4475789473684211],[0.4033473684210526],[0.37903157894736844],[0.35747368421052633],[0.4108631578947368],[0.4407157894736842],[0.4609894736842105],[0.48357894736842105],[0.5178105263157895],[0.5531789473684211],[0.5777894736842105],[0.5967368421052631],[0.6220631578947369],[0.6388421052631579]
[0.18583157894736843],[0.21065263157894737],[0.23498947368421053],[0.26298947368421055],[0.28397894736842105],[0.31277894736842105],[0.3586736842105263],[0.3898736842105263],[0.38061052631578945],[0.4672210526315789],[0.5098526315789473],[0.48922105263157895],[0.45256842105263156],[0.43837894736842103],[0.4044421052631579],[0.3681263157894737],[0.42932631578947367],[0.46210526315789474],[0.4939368421052632],[0.5185473684210526],[0.5434526315789474],[0.5779368421052632],[0.6064421052631579],[0.6301263157894736],[0.6372210526315789],[0.6509894736842106]
