0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
[0.2123157894736842],[0.21957894736842104],[0.244],[0.2654736842105263],[0.25873684210526315],[0.30326315789473685],[0.33094736842105266],[0.364],[0.39673684210526317],[0.40926315789473683],[0.36947368421052634],[0.4205263157894737],[0.39673684210526317],[0.3530526315789474],[0.3294736842105263],[0.3233684210526316],[0.36578947368421055],[0.39557894736842103],[0.40926315789473683],[0.4297894736842105],[0.46589473684210525],[0.4876842105263158],[0.5121052631578947],[0.5326315789473685],[0.5537894736842105],[0.5492631578947369]
[0.18073684210526317],[0.20589473684210527],[0.23021052631578948],[0.2488421052631579],[0.2749473684210526],[0.29705263157894735],[0.33673684210526317],[0.37094736842105264],[0.3548421052631579],[0.42494736842105263],[0.46389473684210525],[0.4393684210526316],[0.4090526315789474],[0.4009473684210526],[0.3794736842105263],[0.3386315789473684],[0.39621052631578946],[0.42789473684210527],[0.4574736842105263],[0.4788421052631579],[0.49557894736842106],[0.5213684210526316],[0.5403157894736842],[0.5596842105263158],[0.5647368421052632],[0.5756842105263158]
