0,1,2,3,4,5,6,7,8,9,10
[0.6784],[0.6056],[0.5844],[0.6532],[0.6232],[0.5184],[0.394],[0.3296],[0.336],[0.3444],[0.2692]
[0.7024],[0.6028],[0.6076],[0.6552],[0.5328],[0.5256],[0.276],[0.2676],[0.2552],[0.2116],[0.2156]
[0.5572],[0.5776],[0.5224],[0.5408],[0.57],[0.5628],[0.2392],[0.1964],[0.2248],[0.2248],[0.226]
